iter	Passed	Remaining
429	1767	2343
430	1770	2337
431	1772	2330
432	1774	2323
433	1776	2316
434	1777	2309
435	1782	2305
436	1784	2298
437	1786	2292
438	1788	2285
439	1790	2279
440	1793	2272
441	1797	2269
442	1800	2264
443	1803	2258
444	1809	2256
445	1812	2251
446	1816	2247
447	1818	2241
448	1825	2239
449	1828	2234
450	1834	2233
451	1839	2230
452	1842	2224
453	1844	2218
454	1847	2212
455	1849	2206
456	1851	2200
457	1856	2196
458	1858	2190
459	1861	2184
460	1863	2178
461	1865	2172
462	1870	2169
463	1872	2163
464	1875	2157
465	1877	2151
466	1879	2145
467	1881	2139
468	1888	2138
469	1891	2133
470	1894	2127
471	1896	2121
472	1900	2117
473	1902	2110
474	1904	2104
475	1906	2099
476	1908	2092
477	1910	2086
478	1914	2081
479	1916	2076
480	1919	2071
481	1922	2066
482	1924	2060
483	1927	2054
484	1932	2051
485	1935	2046
486	1937	2040
487	1939	2035
488	1941	2029
489	1945	2025
490	1948	2020
491	1951	2015
492	1953	2009
493	1956	2003
494	1962	2002
495	1965	1996
496	1967	1991
497	1971	1987
498	1978	1986
499	1980	1980
500	1983	1975
501	1985	1969
502	1991	1968
503	1995	1964
504	2008	1968
505	2012	1964
506	2018	1962
507	2021	1958
508	2025	1954
509	2028	1949
510	2031	1943
511	2033	1938
512	2044	1940
513	2053	1941
514	2060	1940
515	2064	1936
516	2067	1931
517	2076	1931
518	2078	1926
519	2081	1921
520	2083	1915
521	2086	1910
522	2091	1907
523	2097	1904
524	2101	1901
525	2105	1897
526	2108	1892
527	2114	1889
528	2116	1884
529	2122	1882
530	2125	1877
531	2127	1871
532	2130	1866
533	2132	1860
534	2135	1856
535	2138	1851
536	2141	1846
537	2144	1841
538	2146	1836
539	2157	1838
540	2160	1832
541	2163	1828
542	2168	1825
543	2171	1820
544	2174	1815
545	2177	1810
546	2180	1806
547	2186	1803
548	2189	1798
549	2191	1793
550	2194	1788
551	2197	1783
552	2199	1778
553	2201	1772
554	2203	1767
555	2206	1761
556	2210	1758
557	2214	1753
558	2216	1748
559	2219	1743
560	2222	1738
561	2226	1735
562	2228	1730
563	2232	1725
564	2234	1720
565	2238	1716
566	2240	1711
567	2242	1705
568	2245	1700
569	2247	1695
570	2250	1690
571	2253	1686
572	2256	1681
573	2258	1676
574	2261	1671
575	2263	1666
576	2265	1660
577	2269	1657
578	2272	1652
579	2274	1646
580	2276	1641
581	2278	1636
582	2283	1632
583	2286	1628
584	2288	1623
585	2291	1618
586	2293	1613
587	2295	1608
588	2300	1605
589	2303	1600
590	2307	1596
591	2316	1596
592	2322	1593
593	2326	1590
594	2340	1592
595	2342	1587
596	2349	1586
597	2353	1581
598	2355	1576
599	2358	1572
600	2364	1569
601	2366	1564
602	2368	1559
603	2370	1554
604	2373	1549
605	2380	1547
606	2382	1542
607	2384	1537
608	2387	1532
609	2389	1527
610	2394	1524
611	2397	1519
612	2399	1514
613	2401	1509
614	2405	1505
615	2407	1500
616	2409	1495
617	2411	1490
618	2413	1485
619	2416	1480
620	2422	1478
621	2424	1473
622	2427	1468
623	2429	1464
624	2431	1459
625	2437	1456
626	2439	1451
627	2442	1446
628	2444	1442
629	2447	1437
630	2450	1433
631	2452	1428
632	2454	1423
633	2457	1418
634	2460	1414
635	2462	1409
636	2466	1405
637	2468	1400
638	2470	1395
639	2472	1390
640	2475	1386
641	2477	1381
642	2481	1377
643	2484	1373
644	2486	1368
645	2489	1364
646	2491	1359
647	2497	1356
648	2499	1351
649	2501	1347
650	2504	1342
651	2506	1337
652	2511	1334
653	2514	1330
654	2516	1325
655	2519	1321
656	2524	1317
657	2527	1313
658	2529	1308
659	2531	1303
660	2533	1299
661	2535	1294
662	2537	1289
663	2541	1285
664	2543	1281
665	2546	1276
666	2548	1272
667	2550	1267
668	2555	1264
669	2557	1259
670	2560	1255
671	2562	1250
672	2565	1246
673	2572	1244
674	2576	1240
675	2579	1236
676	2584	1233
677	2587	1228
678	2589	1224
679	2591	1219
680	2593	1215
681	2596	1210
682	2603	1208
683	2606	1204
684	2608	1199
685	2611	1195
686	2616	1192
687	2618	1187
688	2620	1182
689	2622	1178
690	2625	1174
691	2628	1169
692	2631	1165
693	2633	1161
694	2635	1156
695	2637	1152
696	2640	1147
697	2642	1143
698	2645	1139
699	2647	1134
700	2649	1130
701	2652	1125
702	2654	1121
703	2660	1118
704	2662	1114
705	2665	1109
706	2667	1105
707	2669	1100
708	2671	1096
709	2676	1093
710	2678	1088
711	2680	1084
712	2682	1079
713	2685	1075
714	2687	1071
715	2692	1067
716	2694	1063
717	2696	1059
718	2699	1054
719	2701	1050
720	2705	1047
721	2708	1042
722	2710	1038
723	2712	1033
724	2714	1029
725	2716	1025
726	2728	1024
727	2730	1020
728	2732	1015
729	2738	1012
730	2744	1009
731	2746	1005
732	2751	1002
733	2753	997
734	2755	993
735	2758	989
736	2760	985
737	2767	982
738	2769	978
739	2772	973
740	2774	969
741	2776	965
742	2781	962
743	2783	957
744	2786	953
745	2788	949
746	2790	945
747	2793	941
748	2796	937
749	2798	932
750	2800	928
751	2803	924
752	2805	920
753	2809	916
754	2812	912
755	2814	908
756	2817	904
757	2819	900
758	2821	896
759	2825	892
760	2828	888
761	2830	884
762	2833	879
763	2835	875
764	2839	872
765	2841	868
766	2844	864
767	2846	859
768	2849	855
769	2851	851
770	2856	848
771	2860	844
772	2862	840
773	2864	836
774	2866	832
775	2873	829
776	2876	825
777	2879	821
778	2882	817
779	2886	814
780	2889	810
781	2892	806
782	2895	802
783	2898	798
784	2903	795
785	2906	791
786	2908	787
787	2913	783
788	2916	779
789	2918	775
790	2921	771
791	2923	767
792	2929	764
793	2932	760
794	2956	762
795	2963	759
796	2965	755
797	2968	751
798	2971	747
799	2974	743
800	2977	739
801	2980	735
802	2983	731
803	2989	728
804	3037	735
805	3039	731
806	3044	728
807	3047	724
808	3061	722
809	3064	718
810	3079	717
811	3082	713
812	3085	709
813	3088	705
814	3110	706
815	3113	702
816	3116	698
817	3118	693
818	3124	690
819	3128	686
820	3131	682
821	3134	678
822	3137	674
823	3141	670
824	3183	675
825	3188	671
826	3191	667
827	3195	663
828	3198	659
829	3200	655
830	3204	651
831	3207	647
832	3209	643
833	3212	639
834	3214	635
835	3240	635
836	3243	631
837	3246	627
838	3249	623
839	3254	619
840	3257	615
841	3259	611
842	3262	607
843	3266	603
844	3268	599
845	3277	596
846	3283	593
847	3285	588
848	3288	584
849	3291	580
850	3293	576
851	3301	573
852	3315	571
853	3324	568
854	3332	565
855	3338	561
856	3344	558
857	3347	553
858	3353	550
859	3392	552
860	3395	548
861	3398	544
862	3413	541
863	3433	540
864	3436	536
865	3438	532
866	3440	527
867	3443	523
868	3449	520
869	3452	515
870	3455	511
871	3458	507
872	3464	504
873	3468	500
874	3472	496
875	3475	491
876	3478	487
877	3482	483
878	3486	479
879	3489	475
880	3491	471
881	3494	467
882	3501	463
883	3504	459
884	3506	455
885	3511	451
886	3515	447
887	3518	443
888	3521	439
889	3529	436
890	3532	432
891	3535	428
892	3538	423
893	3540	419
894	3543	415
895	3547	411
896	3550	407
897	3558	404
898	3561	400
899	3564	396
900	3567	391
901	3569	387
902	3572	383
903	3577	379
904	3580	375
905	3583	371
906	3586	367
907	3593	364
908	3596	360
909	3601	356
910	3608	352
911	3611	348
912	3614	344
913	3617	340
914	3620	336
915	3626	332
916	3629	328
917	3632	324
918	3635	320
919	3647	317
920	3651	313
921	3657	309
922	3660	305
923	3663	301
924	3668	297
925	3678	293
926	3685	290
927	3687	286
928	3690	282
929	3693	277
930	3699	274
931	3702	270
932	3704	266
933	3706	261
934	3709	257
935	3714	253
936	3725	250
937	3743	247
938	3756	244
939	3760	240
940	3782	237
941	3798	233
942	3810	230
943	3813	226
944	3816	222
945	3818	217
946	3821	213
947	3828	209
948	3830	205
949	3832	201
950	3835	197
951	3839	193
952	3841	189
953	3843	185
954	3845	181
955	3847	177
956	3850	173
957	3856	169
958	3860	165
959	3863	160
960	3871	157
961	3876	153
962	3879	149
963	3881	144
964	3888	141
965	3891	136
966	3898	133
967	3903	129
968	3906	124
969	3909	120
970	3911	116
971	3915	112
972	3918	108
973	3921	104
974	3928	100
975	3937	96
976	3945	92
977	3951	88
978	3954	84
979	3957	80
980	3959	76
981	3964	72
982	3967	68
983	3972	64
984	3974	60
985	3983	56
986	3987	52
987	3990	48
988	3994	44
989	3998	40
990	4001	36
991	4004	32
992	4006	28
993	4012	24
994	4018	20
995	4038	16
996	4046	12
997	4048	8
998	4051	4
999	4054	0
